,organisation,topic_type,module,topic,lang,channel,link,title,desc,duration,likes,comments,chan_metrics
22,Python,basic,Basics,Variables,english,365 Data Science,https://www.youtube.com/watch?v=KrToaEvDzdk,Python Tutorial for Beginners: Understand Python Data Types in 10 minutes,Download Our Free Data Science Career Guide: https://bit.ly/3kJgRpm Sign up for Our Complete Data Science Training with ...,0,Likes not available,Comments not available,na
23,Python,basic,Basics,Variables,english,Learning Champion,https://www.youtube.com/watch?v=6wmiYdHPsEM,Integers &amp; Operations in Python || Python Tutorial for Beginners|| Machine Learning Python Series #3,Python Tutorial to learn Python programming with examples . Get to know more about Python integers and operations on them ...,0,Likes not available,Comments not available,na
24,Python,basic,Basics,Variables,english,Mr. STEM EDU TV,https://www.youtube.com/watch?v=cfNIoOocmsU,Python Tutorial for Absolute Beginners: #2 Variables,"Python tutorial for absolute beginners, Variables. Timestamps: 00:00 - Intro 00:24 - What are Variables? 00:48 - Variables for ...",0,Likes not available,Comments not available,na
25,Python,basic,Basics,Variables,english,Amulya's Academy,https://www.youtube.com/watch?v=wwfvaAQZGbQ,Python Programming Tutorial - Identifiers and keywords,In this python programming video tutorial you will learn about keywords and identifiers in detail with example. In this tutorial first ...,0,Likes not available,Comments not available,na
26,Python,basic,Basics,Data Types,english,Great Learning,https://www.youtube.com/watch?v=ZJ_dtEk5GP0,Data Types Variables And Operators In Python | Python Fundamentals | Great Learning,"Complete the Course and get your free certificate of completion for the Data Science with Python Course, Register Now: ...",0,Likes not available,Comments not available,na
27,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=ORCuz7s5cCY,Variables and Data Types | Python Tutorial - Day #6,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
28,Python,basic,Basics,Data Types,english,365 Data Science,https://www.youtube.com/watch?v=KrToaEvDzdk,Python Tutorial for Beginners: Understand Python Data Types in 10 minutes,Download Our Free Data Science Career Guide: https://bit.ly/3kJgRpm Sign up for Our Complete Data Science Training with ...,0,Likes not available,Comments not available,na
29,Python,basic,Basics,Data Types,english,Neso Academy,https://www.youtube.com/watch?v=ZniDyolzrBw,Data Types vs. Abstract Data Types,Data Structures: Data Types vs. Abstract Data Types in Data Structures Topics discussed: 1) Data types. 2) Difference between ...,0,Likes not available,Comments not available,na
30,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=Pu5bqySSSS0,Typecasting in Python | Python Tutorial - Day #9,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
31,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=JdG1cVFyj5A,Python in 8 Minutes (in Hindi) 🐍,"Python in 8 minutes in Hindi: In this video, we will talk about Python and the history of Python. Python is a dynamically typed object ...",0,Likes not available,Comments not available,na
32,Python,basic,Basics,Data Types,english,Practical Python Solutions - By Paul Mahon,https://www.youtube.com/watch?v=Q1GLqiuu9TY,Python Programming - Data Types &amp; Variables - Paul Mahon,Subscribe to our Channel! https://www.youtube.com/channel/UCLJyEZXnEuMgXqtS0sJgBFg ...,0,Likes not available,Comments not available,na
33,Python,basic,Basics,Data Types,english,amplifyabhi coding,https://www.youtube.com/watch?v=5l-SWFlq_h8,Python : Data types in python | Added Subtitles | python for beginners,amplifyabhi #datatypes Usage of data types in python programming is explained in this part of the tutorial using real time ...,0,Likes not available,Comments not available,na
34,Python,basic,Basics,Data Types,english,Spoken-Tutorial IIT Bombay,https://www.youtube.com/watch?v=AhGR2uExW3o,Numerical Datatypes - English,Numerical datatypes *define datatypes and numerical datatypes *int *float *byte *short *long *double *range of each numerical ...,0,Likes not available,Comments not available,na
35,Python,basic,Basics,Data Types,english,Digital Academy,https://www.youtube.com/watch?v=ItHSuo64S3s,"VARIABLES in Python (Syntax, Create, Data Types, Variable Scope) - Python Tutorial for Beginners","Welcome back to Digital Academy, the Complete Python Development Tutorial for Beginners, which will Teach you How to ...",0,Likes not available,Comments not available,na
36,Python,basic,Basics,Data Types,english,Neso Academy,https://www.youtube.com/watch?v=T9DSBhBR_I4,Types of Data Structures,Data Structures: Types of Data Structures Topics discussed: 1) Linear and non-linear data structures. 2) Static and dynamic data ...,0,Likes not available,Comments not available,na
37,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=7wnove7K-ZQ,Introduction to Programming &amp; Python | Python Tutorial - Day #1,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
38,Python,basic,Basics,Data Types,english,Bro Code,https://www.youtube.com/watch?v=DB9Cq6TSTuQ,Python user input ⌨️,"Python user input tutorial #python #user #input name = input(""What is your name?: "") age = int(input(""How old are you?: "")) height ...",0,Likes not available,Comments not available,na
39,Python,basic,Basics,Data Types,english,Swapnil,https://www.youtube.com/watch?v=gQKWm4-GTQY,Python Course For Beginners - Lesson 3 (Data Types),"This is the 3rd Lesson of Python Course For Beginners. In this video, the main Data Types of Python are taught.",0,Likes not available,Comments not available,na
40,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=a7baAGCBA9U,Classes and Objects in Python | Python Tutorial - Day #57,Access the Playlist: https://www.youtube.com/playlist?list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg Link to the Repl: ...,0,Likes not available,Comments not available,na
41,Python,basic,Basics,Data Types,english,Tech Educate,https://www.youtube.com/watch?v=WwvQkXuC-nQ,*New* Free Python Full course 2023 - Python Data Types,GTechEducate #python #pythonforbegineers #pythonfullcourse New Python Tutorial - Python Full Course for Beginners Free ...,0,Likes not available,Comments not available,na
42,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=kMNFQYArrLg,Strings in Python | Python Tutorial - Day #11,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
43,Python,basic,Basics,Data Types,english,Learning Champion,https://www.youtube.com/watch?v=Cg0W6mod9Hw,Discrete v/s Continuous Data - What? How? || Discrete Data || Continuous Data,This video will discuss DISCRETE and CONTINUOUS DATA with Examples and Animation. Please subscribe to our channel for ...,0,Likes not available,Comments not available,na
44,Python,basic,Basics,Data Types,english,CS Dojo,https://www.youtube.com/watch?v=8yjkWGRlUmY,Introduction to Classes and Objects - Part 1 (Data Structures &amp; Algorithms #3),Object oriented programming tutorial! Java & Python sample code available below. Check out Brilliant.org ...,0,Likes not available,Comments not available,na
45,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=dyvxxJSGUsE,Functions in Python | Python Tutorial - Day #20,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
46,Python,basic,Basics,Data Types,english,Transcode,https://www.youtube.com/watch?v=ghCbURMWBD8,Coding Basics: Variables | Programming for Beginners |,Welcome to Transcode! We want to create videos that help break down Computer Science topics for beginners or anyone who ...,0,Likes not available,Comments not available,na
47,Python,basic,Basics,Data Types,english,Khan Academy,https://www.youtube.com/watch?v=9LgyKiq_hU0,For Loops in Python,Basics of for loops in Python.,0,Likes not available,Comments not available,na
48,Python,basic,Basics,Data Types,english,CodeWithHarry,https://www.youtube.com/watch?v=fIYVzKp0q5w,For Loops in Python | Python Tutorial - Day #17,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
49,Python,basic,Basics,Data Types,english,Programming with Mosh,https://www.youtube.com/watch?v=Y8Tko2YC5hA,What is Python? Why Python is So Popular?,What is Python? This short video explains it in 4 minutes. Python Tutorial for Beginners: https://youtu.be/_uQrJ0TkZlc Python ...,0,Likes not available,Comments not available,na
50,Python,basic,Basics,Data Types,english,Salsal Media,https://www.youtube.com/watch?v=CT_QHD_DWMk,7- Python Tutorial for Beginners _ Data Types in Python,"7- Python Tutorial for Beginners _ Data Types in Python The Python language is expressive and productive, it comes with a great ...",0,Likes not available,Comments not available,na
51,Python,basic,Basics,Operators,english,Great Learning,https://www.youtube.com/watch?v=ZJ_dtEk5GP0,Data Types Variables And Operators In Python | Python Fundamentals | Great Learning,"Complete the Course and get your free certificate of completion for the Data Science with Python Course, Register Now: ...",0,Likes not available,Comments not available,na
52,Python,basic,Basics,Operators,english,Amulya's Academy,https://www.youtube.com/watch?v=cYoi5CRPXYM,Python Programming Tutorial - Arithmetic operators and Relational operators,In this Python Programming video tutorial you will learn about 8 arithmetic and 6 relational operators in detail with example In this ...,0,Likes not available,Comments not available,na
53,Python,basic,Basics,Operators,english,Amulya's Academy,https://www.youtube.com/watch?v=0zWiugtOMd4,Python Tutorial - Bitwise Operators 1 (AND | OR | XOR),In this Python Programming video tutorial you will learn about bitwise operators in detail. Bitwise operators works on the bits.,0,Likes not available,Comments not available,na
54,Python,basic,Basics,Operators,english,Intellipaat,https://www.youtube.com/watch?v=O9RPGLDXkF0,Operators in Python | Python Operators | Python Operators Tutorial | Intellipaat,Intellipaat Python course: https://intellipaat.com/python-certification-training-online/ This python operators tutorial is a complete ...,0,Likes not available,Comments not available,na
55,Python,basic,Basics,Operators,english,Amulya's Academy,https://www.youtube.com/watch?v=w3SzPfs0CHM,"Python Tutorials - Bitwise Operators 2 (Complement, Left Shift, Right Shift)",In this Python Programming video tutorial you will learn about bitwise operators in detail. Bitwise operators works on the bits.,0,Likes not available,Comments not available,na
56,Python,basic,Basics,Operators,english,Learning Journal,https://www.youtube.com/watch?v=oDvADOQbcbQ,Python Comparison Operator | How to use Python Comparison operators,Spark Programming and Azure Databricks ILT Master Class by Prashant Kumar Pandey - Fill out the google form for Course ...,0,Likes not available,Comments not available,na
57,Python,basic,Basics,Operators,english,Amulya's Academy,https://www.youtube.com/watch?v=Em5bBQHrTGw,Python Programming Tutorial - Precedence and Associativity,In this Python Programming video tutorial you will learn about what is precedence and associativity in detail with example.,0,Likes not available,Comments not available,na
58,Python,basic,Basics,Operators,english,Amulya's Academy,https://www.youtube.com/watch?v=dpDDQiZpx34,Dictionary Basic Operations | Insert | Access | Python 2 | Python 3,In this Python Programming video tutorial you will learn about the basic operation of dictionaries. Dictionaries are the unordered ...,0,Likes not available,Comments not available,na
59,Python,basic,Basics,Operators,english,Learning Champion,https://www.youtube.com/watch?v=eH6GCyHnWTA,String Slicing || Start : Stop : Step Index || What? How? || Python Tutorial for Beginners,This video will discuss WHAT and How of String Slicing with various Examples and Animation. Please subscribe to our channel ...,0,Likes not available,Comments not available,na
60,Python,basic,Basics,Operators,english,CodeWithHarry,https://www.youtube.com/watch?v=JdG1cVFyj5A,Python in 8 Minutes (in Hindi) 🐍,"Python in 8 minutes in Hindi: In this video, we will talk about Python and the history of Python. Python is a dynamically typed object ...",0,Likes not available,Comments not available,na
61,Python,basic,Basics,Operators,english,CodeWithHarry,https://www.youtube.com/watch?v=NCmMEEyzLT8,Walrus Operator in Python | Python Tutorial - Day #86,Access the Playlist: https://www.youtube.com/playlist?list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg Link to the Repl: ...,0,Likes not available,Comments not available,na
62,Python,basic,Basics,Operators,english,CodeWithHarry,https://www.youtube.com/watch?v=D67-b2t-y4k,Operator Overloading in Python | Python Tutorial - Day #77,Access the Playlist: https://www.youtube.com/playlist?list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg Link to the Repl: ...,0,Likes not available,Comments not available,na
63,Python,basic,Basics,Operators,english,choobtorials,https://www.youtube.com/watch?v=Z8vmjToqlO8,The Python Binary Arithmetic Operators,"In this video, we are going to take a look at what are called Binary Arithmetic Operators. In this context, we are using the word ...",0,Likes not available,Comments not available,na
64,Python,basic,Basics,Operators,english,CodeBerry Programming School,https://www.youtube.com/watch?v=BLK_y8NSrIw,Logical operators in Python – Python tutorial for beginners – CodeBerry Programming School,"In this video, you'll learn how to use logical operators in Python. Check more Python tutorials for beginners at ...",0,Likes not available,Comments not available,na
65,Python,basic,Basics,Operators,english,Learning Champion,https://www.youtube.com/watch?v=6wmiYdHPsEM,Integers &amp; Operations in Python || Python Tutorial for Beginners|| Machine Learning Python Series #3,Python Tutorial to learn Python programming with examples . Get to know more about Python integers and operations on them ...,0,Likes not available,Comments not available,na
66,Python,basic,Basics,Operators,english,Bro Code,https://www.youtube.com/watch?v=DB9Cq6TSTuQ,Python user input ⌨️,"Python user input tutorial #python #user #input name = input(""What is your name?: "") age = int(input(""How old are you?: "")) height ...",0,Likes not available,Comments not available,na
67,Python,basic,Basics,Operators,english,Coders Companion,https://www.youtube.com/watch?v=GF4t0vqNKnY,#34 Python Operators - Logical Operators,"My YouTube Channel - https://www.youtube.com/c/CodersCompanion Hello Viewers, my name is Raja Subramanian and ...",0,Likes not available,Comments not available,na
68,Python,basic,Basics,Operators,english,Neso Academy,https://www.youtube.com/watch?v=jlQmeyce65Q,Bitwise Operators in C (Part 1),C Programming & Data Structures: Bitwise Operators in C (Part 1) Topics discussed: 1. Introduction to Bitwise Operators. 2. Types ...,0,Likes not available,Comments not available,na
69,Python,basic,Basics,Operators,english,estudy.in,https://www.youtube.com/watch?v=cGl2OaCu06k,# 6  ARITHMETIC OPERATORS IN PYTHON | // VS / OPERATOR | ** OPERATOR | ROUND FUNCTION,"Welcome to my YouTube channel! In this video, we'll explore the fundamental concepts of arithmetic operators and the round ...",0,Likes not available,Comments not available,na
70,Python,basic,Basics,Operators,english,Programming with Mosh,https://www.youtube.com/watch?v=Ctqi5Y4X-jA,How to Use Strings in Python - Python Tutorial for Beginners,How to use strings in Python. Learn Python basics with this Python tutorial for beginners. Subscribe for more Python tutorials ...,0,Likes not available,Comments not available,na
71,Python,basic,Basics,Operators,english,Software and Testing Training,https://www.youtube.com/watch?v=SbnRqnyTeZ4,Python String-Python For Beginners-Strings In Python English-Strings In Python 3-Python Full Course,Python string is explained in Python for beginners tutorial. This strings in Python english tutorial that resolves the following ...,0,Likes not available,Comments not available,na
72,Python,basic,Basics,Operators,english,CodeWithHarry,https://www.youtube.com/watch?v=8jW7lpT8HW8,Strings Slicing and Operations on Strings in Python | Python Tutorial - Day #12,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
73,Python,basic,Basics,Operators,english,LearnWithOqba ,https://www.youtube.com/watch?v=xuLIt6JHu0k,"Python Operators, Order of Precedence, Basic Math | Python Tutorial for beginners#5","1:11 Python as a Calculator. In this Python Tutorial for beginners, I have covered how can we use Python as a Calculator. I define ...",0,Likes not available,Comments not available,na
74,Python,basic,Basics,Operators,english,CodeWithHarry,https://www.youtube.com/watch?v=XblLSduioJI,Operations on Tuples in Python | Python Tutorial - Day #25,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
75,Python,basic,Basics,Operators,english,henryishuman,https://www.youtube.com/watch?v=Gj9CSJu1qjY,How To: Beginner Python - Part 2 - Types and Operators,"In this episode, we discuss data type, and how variables of differing types interact with one another. Key concepts and keywords ...",0,Likes not available,Comments not available,na
76,Python,basic,Basics,Control Flow,english,Intellipaat,https://www.youtube.com/watch?v=n9TQZIiFiQs,Flow Control in Python | What is Flow Control in Programming | Python Flow Control | Intellipaat,Intellipaat Python course: https://intellipaat.com/python-certification-training-online/ In this Python flow control tutorial you will learn ...,0,Likes not available,Comments not available,na
77,Python,basic,Basics,Control Flow,english,Programming with Mosh,https://www.youtube.com/watch?v=Zp5MuPOtsSY,Control Flow in Python - If Elif Else Statements,Learn how to use if elif else statements in Python to control the flow of your programs. Subscribe for more videos like this: ...,0,Likes not available,Comments not available,na
78,Python,basic,Basics,Control Flow,english,Amulya's Academy,https://www.youtube.com/watch?v=kIPpTYjareA,Python Programming Tutorial - Control structures,In this Python Programming video tutorial you will learn about control structures (sequential selection and iterative control ...,0,Likes not available,Comments not available,na
79,Python,basic,Basics,Control Flow,english,Programming with Mosh,https://www.youtube.com/watch?v=94UHCEmprCY,Python For Loops - Python Tutorial for Absolute Beginners,Python for loops. Learn Python basics with this Python tutorial for absolute beginners. Subscribe for more videos like this: ...,0,Likes not available,Comments not available,na
80,Python,basic,Basics,Control Flow,english,CodeWithHarry,https://www.youtube.com/watch?v=fIYVzKp0q5w,For Loops in Python | Python Tutorial - Day #17,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
81,Python,basic,Basics,Control Flow,english,Khan Academy,https://www.youtube.com/watch?v=9LgyKiq_hU0,For Loops in Python,Basics of for loops in Python.,0,Likes not available,Comments not available,na
82,Python,basic,Basics,Control Flow,english,CodeWithHarry,https://www.youtube.com/watch?v=ceiuLR2ysas,If Else Conditional Statements in Python | Python Tutorial - Day #14,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
83,Python,basic,Basics,Control Flow,english,NOC16 CS11,https://www.youtube.com/watch?v=oe6iF3yzMo8,control flow,,0,Likes not available,Comments not available,na
84,Python,basic,Basics,Control Flow,english,JANAK TRIVEDI,https://www.youtube.com/watch?v=2EQp1TsSg40,Lecture 7. Control Flow For Loop || Python Programming Theory,"In this video, Mentioned Points are covered in the #Python subject, #for loop in Python #List #for loop in Python #Tuple #for loop ...",0,Likes not available,Comments not available,na
85,Python,basic,Basics,Control Flow,english,CodeWithHarry,https://www.youtube.com/watch?v=-tCFyIyKVx0,While Loops in Python | Python Tutorial - Day #18,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
86,Python,basic,Basics,Control Flow,english,Neso Academy,https://www.youtube.com/watch?v=obJcPlAtGVM,Loop Control Statements − break and continue,C Programming & Data Structures: break and continue statements in C programming. Topics discussed: 1) Break statement.,0,Likes not available,Comments not available,na
87,Python,basic,Basics,Control Flow,english,Jeremy Maurer,https://www.youtube.com/watch?v=kyTJixvrUUg,For-loops and conditional statements in Python,"In this video, Dr. J introduces the very basics on for-loops, iterables, and conditional statements in Python.",0,Likes not available,Comments not available,na
88,Python,basic,Basics,Control Flow,english,Python Simplified,https://www.youtube.com/watch?v=wFEC7VbWBZo,Python Learning Roadmap for Beginners - This is how I learned! - Vlog 4,"In this vlog, I will share my roadmap of learning Python along with examples and links to some relevant tutorials on my channel!",0,Likes not available,Comments not available,na
89,Python,basic,Basics,Control Flow,english,Great Learning,https://www.youtube.com/watch?v=ZJ_dtEk5GP0,Data Types Variables And Operators In Python | Python Fundamentals | Great Learning,"Complete the Course and get your free certificate of completion for the Data Science with Python Course, Register Now: ...",0,Likes not available,Comments not available,na
90,Python,basic,Basics,Control Flow,english,CodeWithHarry,https://www.youtube.com/watch?v=4LKo6dlku7M,Exception Handling in Python | Python Tutorial - Day #36,"Python is one of the most demanded programming languages in the job market. Surprisingly, it is equally easy to learn and master ...",0,Likes not available,Comments not available,na
91,Python,basic,Basics,Control Flow,english,CodeHS,https://www.youtube.com/watch?v=UQn0cKvoFa8,Intro Python- While Loops,"CodeHS is a web-based computer science education platform for K-12 with national and state standards aligned curriculum, ...",0,Likes not available,Comments not available,na
92,Python,basic,Basics,Control Flow,english,JANAK TRIVEDI,https://www.youtube.com/watch?v=Slz8udp0hZY,Lecture 8. Control Flow Break Continue || Python Programming Theory,"In this video, mentioned points are covered for #Python subject for #Beginners. #Break statement #Break statement in #while loop ...",0,Likes not available,Comments not available,na
93,Python,basic,Basics,Control Flow,english,Udemy Everything,https://www.youtube.com/watch?v=DGeoQCoh9iY,Flow Controls Conditionals #Udemy,"Udemy #Free #course flow controls conditionals, flow controls, flow control statements, flow controls conditionals and ...",0,Likes not available,Comments not available,na
94,Python,basic,Basics,Control Flow,english,Anuj Bhaiya,https://www.youtube.com/watch?v=mZGlcukGuTo,Do This To Improve Your Programming Logic By 199% in 30 Days 🔥 Problem-Solving Skills Improvement 🔥,"Hey guys, In this video, We're going to discuss how you can Improve your Programming Logic in 30 days. Join our Telegram ...",0,Likes not available,Comments not available,na
95,Python,basic,Basics,Control Flow,english,Bro Code,https://www.youtube.com/watch?v=DB9Cq6TSTuQ,Python user input ⌨️,"Python user input tutorial #python #user #input name = input(""What is your name?: "") age = int(input(""How old are you?: "")) height ...",0,Likes not available,Comments not available,na
96,Python,basic,Basics,Control Flow,english,CodeWithHarry,https://www.youtube.com/watch?v=PTBZ674EsvI,Decorators in Python | Python Tutorial - Day #59,Access the Playlist: https://www.youtube.com/playlist?list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg Link to the Repl: ...,0,Likes not available,Comments not available,na
97,Python,basic,Basics,Control Flow,english,sciekore (سائی کور),https://www.youtube.com/watch?v=dPgDkI-FoBA,Python 2023|Python Conditions and If Statements|Student Grade program| اردو/हिंदी [ Lesson 9],PythonTutorial #IfStatements #ConditionalStatements #PythonProgramming #PythonBasics #PythonExamples #ControlFlow ...,0,Likes not available,Comments not available,na
98,Python,basic,Basics,Control Flow,english,2023 - Land On Dream Job With Best Skills,https://www.youtube.com/watch?v=mhYQjqHhghY,2023 Python Beginner Tutorial #23 Adding logic to Python code,"Learn how to use control flow, conditional statements, and logical operators to write more effective and efficient code.",0,Likes not available,Comments not available,na
99,Python,basic,Basics,Control Flow,english,Gate Smashers,https://www.youtube.com/watch?v=W5q0xgxmRd8,L-6.1: What is hashing with example | Hashing in data structure,Subscribe to our new channel:https://www.youtube.com/@varunainashots Links for DAA Notes: File-1: https://rb.gy/2byrg ...,0,Likes not available,Comments not available,na
100,Python,basic,Basics,Control Flow,english,Simply Explained,https://www.youtube.com/watch?v=AQDCe585Lnc,Asymmetric Encryption - Simply explained,How does public-key cryptography work? What is a private key and a public key? Why is asymmetric encryption different from ...,0,Likes not available,Comments not available,na
